midgid,sdn_local_cdi_id,SeaVox_SeaArea,ICES_ecoregion,ICES_area,ICES_statistical_rectangle,MSFD_region,MSFD_subregion,WFD_waterbody_type,WFD_waterbody_name,SWD_shellfish_waterbody,station_id,site_bathy_depth,sdn_csrref_global,cruise,platform_name,ices_platform_code,platform_category,platform_category_code,ctd_model_name,ctd_model_urn,year,month,time,depth,latitude,longitude,pressure,temperature,salinity,sigmat,average_sound_velocity,oxygen_mll,oxygen_sat,depth_qc,pressure_qc,temperature_qc,conductivity_qc,salinity_qc,sigmat_qc,average_sound_velocity_qc,oxygen_mll_qc,oxygen_sat_qc
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,38.0,55.1396667,-9.4321667,38.342,12.9772,35.3627,26.6786,1502.19,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,39.0,55.1396667,-9.4321667,39.352,12.9154,35.3612,26.6899,1502.16,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,40.0,55.1396667,-9.4321667,40.361,12.8454,35.36,26.703,1502.13,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,41.0,55.1396667,-9.4321667,41.37,12.8061,35.3591,26.7102,1502.1,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,42.0,55.1396667,-9.4321667,42.379,12.7412,35.3583,26.7224,1502.06,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,43.0,55.1396667,-9.4321667,43.388,12.6892,35.357,26.7319,1502.02,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,44.0,55.1396667,-9.4321667,44.397,12.5279,35.3538,26.7612,1501.97,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,45.0,55.1396667,-9.4321667,45.406,12.3244,35.3539,26.8013,1501.91,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,46.0,55.1396667,-9.4321667,46.415,12.1572,35.3515,26.8318,1501.85,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
100282,291,ATLANTIC OCEAN > NORTH ATLANTIC OCEAN > NORTHEAST ATLANTIC OCEAN (40W),Celtic Seas,27.6.a,39E0,North-east Atlantic Ocean,Celtic Seas,,,,,119.48,SDN:CSR::20051117,CE0509,Celtic Explorer,45CE,research vessel,31,Sea-Bird SBE 911plus CTD,SDN:L22::TOOL0058,2005,7,2005-07-05T19:19:04Z,47.0,55.1396667,-9.4321667,47.425,12.0565,35.3502,26.8504,1501.78,NaN,NaN,1,1,1,NaN,1,1,1,NaN,NaN
